Fold,TP,TN,FP,FN,P,N,TPR,TNR,FPR,FNR,Accuracy,BalancedAcc,Precision,Recall,F1,ErrorRate,TSS,HSS,BS,BSS,BSS_alt,AUC
1,101.0,468.0,50.0,86.0,187.0,518.0,0.5401069518716578,0.9034749034749034,0.09652509652509653,0.45989304812834225,0.8070921985815603,0.7217909276732806,0.6688741721854304,0.5401069518716578,0.5976331360946746,0.19290780141843966,0.44358185534656125,0.47265367184406215,0.13932179501544506,0.28513188149039304,0.714868118509607,0.8398147956971486
2,102.0,467.0,51.0,85.0,187.0,518.0,0.5454545454545454,0.9015444015444015,0.09845559845559845,0.45454545454545453,0.8070921985815603,0.7234994734994735,0.6666666666666666,0.5454545454545454,0.6,0.19290780141843966,0.44699894699894693,0.47456679709334826,0.13642947924680593,0.2999725195358153,0.7000274804641847,0.8434228728346376
3,96.0,462.0,56.0,91.0,187.0,518.0,0.5133689839572193,0.8918918918918919,0.10810810810810811,0.48663101604278075,0.7914893617021277,0.7026304379245556,0.631578947368421,0.5133689839572193,0.5663716814159293,0.2085106382978723,0.4052608758491112,0.43103647054302296,0.14119393615216927,0.27552581797501763,0.7244741820249824,0.8246753246753247
4,92.0,470.0,48.0,94.0,186.0,518.0,0.4946236559139785,0.9073359073359073,0.09266409266409266,0.5053763440860215,0.7982954545454546,0.7009797816249429,0.6571428571428571,0.4946236559139785,0.5644171779141105,0.20170454545454541,0.40195956324988585,0.43655875191631344,0.14606840601236534,0.24862125716958883,0.7513787428304112,0.8193060572092828
5,92.0,465.0,52.0,95.0,187.0,517.0,0.4919786096256685,0.8994197292069632,0.10058027079303675,0.5080213903743316,0.7911931818181818,0.6956991694163158,0.6388888888888888,0.4919786096256685,0.5558912386706949,0.20880681818181823,0.39139833883263175,0.4223968565815324,0.13836778539815484,0.29067027660720623,0.7093297233927938,0.8397066581160334
6,94.0,465.0,52.0,93.0,187.0,517.0,0.5026737967914439,0.8994197292069632,0.10058027079303675,0.49732620320855614,0.7940340909090909,0.7010467629992035,0.6438356164383562,0.5026737967914439,0.5645645645645645,0.20596590909090906,0.4020935259984071,0.4323464643993149,0.14018966415667708,0.2813305827462461,0.7186694172537539,0.8386154180328715
7,84.0,446.0,71.0,103.0,187.0,517.0,0.44919786096256686,0.8626692456479691,0.13733075435203096,0.5508021390374331,0.7528409090909091,0.6559335533052679,0.5419354838709678,0.44919786096256686,0.4912280701754386,0.24715909090909094,0.3118671066105359,0.32988325911662053,0.1671966969035488,0.14288151374601266,0.8571184862539873,0.7792333391946544
8,82.0,479.0,38.0,105.0,187.0,517.0,0.4385026737967914,0.9264990328820116,0.0735009671179884,0.5614973262032086,0.796875,0.6825008533394015,0.6833333333333333,0.4385026737967914,0.5342019543973942,0.203125,0.36500170667880305,0.41212744090441933,0.14038330035751512,0.28033792457524165,0.7196620754247584,0.8266996969352185
9,87.0,469.0,48.0,100.0,187.0,517.0,0.46524064171123,0.90715667311412,0.09284332688588008,0.5347593582887701,0.7897727272727273,0.6861986574126749,0.6444444444444445,0.46524064171123,0.5403726708074534,0.2102272727272727,0.3723973148253499,0.40866525159195904,0.15028268642248277,0.22958963255758524,0.7704103674424148,0.8072487303344056
10,71.0,467.0,50.0,116.0,187.0,517.0,0.37967914438502676,0.9032882011605415,0.09671179883945841,0.6203208556149733,0.7642045454545454,0.6414836727727842,0.5867768595041323,0.37967914438502676,0.4610389610389611,0.23579545454545459,0.28296734554556835,0.3188870367995897,0.14872877208879623,0.23755563144466918,0.7624443685553308,0.8183783448318663
Average,90.1,465.8,51.6,96.8,186.9,517.4,0.48208268644701285,0.9002699715465674,0.0997300284534327,0.5179173135529871,0.7892889667956158,0.69117632899679,0.6363477269843499,0.48208268644701285,0.5475719455079221,0.21071103320438428,0.3823526579935802,0.41391220007901824,0.14481625217539604,0.25716170378477754,0.7428382962152223,0.8237101237861445
